item_id,section,lesson,quiz_type,question,answer,distractors,cefr_band,kp_target,lexical_target,skill_target,difficulty_stage,error_type,repair_link,source_ref
AEW2-U011-P-Q03,Project,Final Project: My Weather Choice Card,mcq,Choose a weather sentence.,It's sunny.,Choose shoes. | Hello Toto. | I want water.,Pre-A1.2,PRJ sentence,It's sunny.,Project readiness,easy,project readiness confusion,AEW2-U011-Repair-PROJECT-02,Project model
AEW2-U011-P-Q04,Project,Final Project: My Weather Choice Card,mcq,Choose a clothes sentence.,Choose a hat.,It's rainy. | This is my sister. | How many?,Pre-A1.2,PRJ choice,Choose a hat.,Project readiness,easy,project readiness confusion,AEW2-U011-Repair-PROJECT-02,Project model
AEW2-U011-P-Q05,Project,Final Project: My Weather Choice Card,matching,Rainy card: choose ____.,umbrella,T-shirt | hat | sandwich,Pre-A1.2,PRJ weather/clothes link,rainy + umbrella,Project readiness,medium,project readiness confusion,AEW2-U011-Repair-PROJECT-02,Project model
AEW2-U011-P-Q06,Project,Final Project: My Weather Choice Card,matching,Rainy card: choose ____.,boots,T-shirt | hat | apple,Pre-A1.2,PRJ weather/clothes link,rainy + boots,Project readiness,medium,project readiness confusion,AEW2-U011-Repair-PROJECT-02,Project model
AEW2-U011-P-Q07,Project,Final Project: My Weather Choice Card,matching,Sunny card: choose ____.,hat,boots | coat | umbrella,Pre-A1.2,PRJ weather/clothes link,sunny + hat,Project readiness,medium,project readiness confusion,AEW2-U011-Repair-PROJECT-02,Project model
AEW2-U011-P-Q08,Project,Final Project: My Weather Choice Card,matching,Cloudy card: choose ____.,sweater,juice | toy | cookie,Pre-A1.2,PRJ weather/clothes link,cloudy + sweater,Project readiness,medium,project readiness confusion,AEW2-U011-Repair-PROJECT-02,Project model
AEW2-U011-P-Q09,Project,Final Project: My Weather Choice Card,sentence_build,Build a rainy card line.,It's rainy. Choose boots.,"It's sunny. Choose a hat. | I want juice, please. | This is my brother.",Pre-A1.2,PRJ output,It's rainy. Choose boots.,Project readiness,medium,project readiness confusion,AEW2-U011-Repair-PROJECT-02,Project model
AEW2-U011-P-Q10,Project,Final Project: My Weather Choice Card,sentence_build,Build a sunny card line.,It's sunny. Choose a hat.,It's rainy. Choose boots. | Choose an apple. | Who's this?,Pre-A1.2,PRJ output,It's sunny. Choose a hat.,Project readiness,medium,project readiness confusion,AEW2-U011-Repair-PROJECT-02,Project model
AEW2-U011-P-Q11,Project,Final Project: My Weather Choice Card,true_false,My project can use one short weather sentence.,true,false,Pre-A1.2,PRJ self-check,short output,Project readiness,medium,project readiness confusion,AEW2-U011-Repair-PROJECT-02,Project checklist
AEW2-U011-P-Q12,Project,Final Project: My Weather Choice Card,project_readiness,Ready to share? Choose the best check.,Weather picture + clothes pictures + one short sentence,A long report + prices + map | Only a snack picture | Only a family picture,Pre-A1.2,PRJ self-check,ready to share,Project readiness,medium,project readiness confusion,AEW2-U011-Repair-PROJECT-02,Project checklist
