item_id,section,lesson,quiz_type,question,answer,distractors,cefr_band,kp_target,lexical_target,skill_target,difficulty_stage,error_type,repair_link,source_ref
AEW2-U009-W-Q12,Watch,Toto and the Snack Card,mcq,Choose the best summary.,"Leo, Mia, and Emma choose snacks and say thank you.",Toto hides a toy under a box. | The team learns clothes for weather. | The team draws a family tree.,Pre-A1.2,LST summary,"Leo, Mia, and Emma choose snacks and say thank you.",Listening,medium,sequence/role-play confusion,AEW2-U009-Repair-WATCH-04,Watch script + Unit 9 images
AEW2-U009-P-Q01,Project,My Snack Order Role-play,mcq,Step 1: Choose _____.,one snack,three toys | a weather card | a family tree,Pre-A1.2,PRJ readiness,one snack,Speaking prep,easy,sequence/role-play confusion,AEW2-U009-Repair-PROJ-01,Project steps + IMG17/IMG20
AEW2-U009-P-Q02,Project,My Snack Order Role-play,mcq,Step 2: Choose _____.,one drink,one animal | one room | one color only,Pre-A1.2,PRJ readiness,one drink,Speaking prep,easy,sequence/role-play confusion,AEW2-U009-Repair-PROJ-01,Project steps + IMG17/IMG20
AEW2-U009-P-Q03,Project,My Snack Order Role-play,mcq,What do you make?,snack order card,toy box page | weather card | number trail,Pre-A1.2,PRJ readiness,snack order card,Speaking prep,medium,sequence/role-play confusion,AEW2-U009-Repair-PROJ-03,Project steps + IMG17/IMG20
AEW2-U009-P-Q04,Project,My Snack Order Role-play,mcq,Choose a strong project line.,"I want an apple and water, please.",Apple water. | I see a toy. | Open the book.,Pre-A1.2,PRJ phrase bank,"I want an apple and water, please.",Speaking prep,medium,sequence/role-play confusion,AEW2-U009-Repair-PROJ-02,Project steps + IMG17/IMG20
AEW2-U009-P-Q05,Project,My Snack Order Role-play,gap_fill,"Complete: I _____ a cookie and milk, please.",want,,Pre-A1.2,PRJ phrase bank,want,Speaking prep,easy,sequence/role-play confusion,AEW2-U009-Repair-CHK-01,Project steps + IMG17/IMG20
AEW2-U009-P-Q06,Project,My Snack Order Role-play,gap_fill,"Complete: I want a sandwich and juice, _____.",please,,Pre-A1.2,PRJ phrase bank,please,Speaking prep,easy,sequence/role-play confusion,AEW2-U009-Repair-POLITE-01,Project steps + IMG17/IMG20
AEW2-U009-P-Q07,Project,My Snack Order Role-play,sequence,Put the project role-play in order.,"Hello. | I want a banana and juice, please. | Here you are. | Thank you.",,Pre-A1.2,PRJ role-play sequence,"Hello. | I want a banana and juice, please. | Here you are. | Thank you.",Listening,medium,sequence/role-play confusion,AEW2-U009-Repair-ROLE-01,Project steps + IMG17/IMG20
AEW2-U009-P-Q08,Project,My Snack Order Role-play,matching,Match the project card parts.,"snack=an orange; drink=water; line=I want an orange and water, please.",,Pre-A1.2,PRJ card parts,snack; drink; speaking line,Speaking prep,medium,sequence/role-play confusion,AEW2-U009-Repair-PROJ-03,Project steps + IMG17/IMG20
AEW2-U009-P-Q09,Project,My Snack Order Role-play,true_false,The project line needs please.,True,False,Pre-A1.2,PRJ self-check,please,Listening,easy,sequence/role-play confusion,AEW2-U009-Repair-POLITE-01,Project steps + IMG17/IMG20
AEW2-U009-P-Q10,Project,My Snack Order Role-play,true_false,You can record your snack order line for portfolio evidence.,True,False,Pre-A1.2,PRJ self-check,voice line,Listening,easy,sequence/role-play confusion,AEW2-U009-Repair-PROJ-04,Project steps + IMG17/IMG20
AEW2-U009-P-Q11,Project,My Snack Order Role-play,mcq,"If your line is “I want a cookie and milk,” what repair helps?",Add please.,Say a toy word. | Count to ten. | Choose clothes.,Pre-A1.2,AI-R repair,Add please.,Speaking prep,medium,sequence/role-play confusion,AEW2-U009-Repair-POLITE-01,Project steps + IMG17/IMG20
AEW2-U009-P-Q12,Project,My Snack Order Role-play,mcq,Choose the final self-check.,I can say my snack order politely.,I can write a long story. | I can give directions. | I can describe the weather.,Pre-A1.2,PRJ final check,I can say my snack order politely.,Speaking prep,medium,sequence/role-play confusion,AEW2-U009-Repair-PROJ-04,Project steps + IMG17/IMG20
