audio_key,title,text,spoken_text,voice,file
"video script whole","Video Script","Hello! It's the Number Trail. | Toto runs. Look! One star. | How many flowers? Two flowers. | Leo counts. Three balls. | Mia counts. Four leaves. | Emma counts. Five apples. | The signs go on: six, seven, eight, nine, ten. | More signs: eleven, twelve, thirteen, fourteen, fifteen. | Final signs: sixteen, seventeen, eighteen, nineteen, twenty. | How many flags? Twenty flags. | Toto is happy. | Goodbye, Number Trail!","Hello! It's the Number Trail. | Toto runs. Look! One star. | How many flowers? Two flowers. | Leo counts. Three balls. | Mia counts. Four leaves. | Emma counts. Five apples. | The signs go on: six, seven, eight, nine, ten. | More signs: eleven, twelve, thirteen, fourteen, fifteen. | Final signs: sixteen, seventeen, eighteen, nineteen, twenty. | How many flags? Twenty flags. | Toto is happy. | Goodbye, Number Trail!","video voices","assets/audio/U3-VIDEO-SCRIPT-WHOLE.mp3"
"VIDEO-SCRIPT line","Video Script","Hello! It's the Number Trail.","Hello! It's the Number Trail.","en-GB-MaisieNeural","assets/audio/U3-VIDEO-SCRIPT-LINE-01-HELLO-IT-S-THE-NUMBER-TRAIL.mp3"
"VIDEO-SCRIPT line","Video Script","Toto runs. Look! One star.","Toto runs. Look! One star.","en-GB-MaisieNeural","assets/audio/U3-VIDEO-SCRIPT-LINE-02-TOTO-RUNS-LOOK-ONE-STAR.mp3"
"VIDEO-SCRIPT line","Video Script","How many flowers? Two flowers.","How many flowers? Two flowers.","en-GB-MaisieNeural","assets/audio/U3-VIDEO-SCRIPT-LINE-03-HOW-MANY-FLOWERS-TWO-FLOWERS.mp3"
"VIDEO-SCRIPT line","Video Script","Leo counts. Three balls.","Leo counts. Three balls.","en-GB-MaisieNeural","assets/audio/U3-VIDEO-SCRIPT-LINE-04-LEO-COUNTS-THREE-BALLS.mp3"
"VIDEO-SCRIPT line","Video Script","Mia counts. Four leaves.","Mia counts. Four leaves.","en-US-AnaNeural","assets/audio/U3-VIDEO-SCRIPT-LINE-05-MIA-COUNTS-FOUR-LEAVES.mp3"
"VIDEO-SCRIPT line","Video Script","Emma counts. Five apples.","Emma counts. Five apples.","en-US-AnaNeural","assets/audio/U3-VIDEO-SCRIPT-LINE-06-EMMA-COUNTS-FIVE-APPLES.mp3"
"VIDEO-SCRIPT line","Video Script","The signs go on: six, seven, eight, nine, ten.","The signs go on: six, seven, eight, nine, ten.","en-GB-MaisieNeural","assets/audio/U3-VIDEO-SCRIPT-LINE-07-THE-SIGNS-GO-ON-SIX-SEVEN-EIGHT-NINE-TEN.mp3"
"VIDEO-SCRIPT line","Video Script","More signs: eleven, twelve, thirteen, fourteen, fifteen.","More signs: eleven, twelve, thirteen, fourteen, fifteen.","en-GB-MaisieNeural","assets/audio/U3-VIDEO-SCRIPT-LINE-08-MORE-SIGNS-ELEVEN-TWELVE-THIRTEEN-FOURTEEN-FIFTEEN.mp3"
"VIDEO-SCRIPT line","Video Script","Final signs: sixteen, seventeen, eighteen, nineteen, twenty.","Final signs: sixteen, seventeen, eighteen, nineteen, twenty.","en-GB-MaisieNeural","assets/audio/U3-VIDEO-SCRIPT-LINE-09-FINAL-SIGNS-SIXTEEN-SEVENTEEN-EIGHTEEN-NINETEEN-TWEN.mp3"
"VIDEO-SCRIPT line","Video Script","How many flags? Twenty flags.","How many flags? Twenty flags.","en-GB-MaisieNeural","assets/audio/U3-VIDEO-SCRIPT-LINE-10-HOW-MANY-FLAGS-TWENTY-FLAGS.mp3"
"VIDEO-SCRIPT line","Video Script","Toto is happy.","Toto is happy.","en-GB-MaisieNeural","assets/audio/U3-VIDEO-SCRIPT-LINE-11-TOTO-IS-HAPPY.mp3"
"VIDEO-SCRIPT line","Video Script","Goodbye, Number Trail!","Goodbye, Number Trail!","en-GB-MaisieNeural","assets/audio/U3-VIDEO-SCRIPT-LINE-12-GOODBYE-NUMBER-TRAIL.mp3"
