id,section,lesson_number,lesson_title,ordinal_in_section,question_type,kp_target,prompt,choice_a,choice_b,choice_c,correct_letter,correct_answer,repair_id,repair_text,image_ids,audio_id
U1W05,Watch,,The Hello Gate,5,Video detail,greeting recognition; name phrase recognition; goodbye sequence,Who joins the team?,Toto,Name,Goodbye,A,Toto,U1-RP-WATCH-HELLO-GATE,"Watch again. Listen for Hello, I’m, and Goodbye.",AEW2-U001-IMG-018,
U1W06,Watch,,The Hello Gate,6,Phrase recognition,greeting recognition; name phrase recognition; goodbye sequence,Choose the phrase from the video.,I’m Leo.,"Goodbye, Leo.",What’s Leo?,A,I’m Leo.,U1-RP-WATCH-HELLO-GATE,"Watch again. Listen for Hello, I’m, and Goodbye.",AEW2-U001-IMG-018,
U1W07,Watch,,The Hello Gate,7,Goodbye,greeting recognition; name phrase recognition; goodbye sequence,What word comes at the end?,Goodbye,Hello,Name,A,Goodbye,U1-RP-WATCH-HELLO-GATE,"Watch again. Listen for Hello, I’m, and Goodbye.",AEW2-U001-IMG-018,
U1W08,Watch,,The Hello Gate,8,Ordering,greeting recognition; name phrase recognition; goodbye sequence,Put the video language in order.,Hello → I’m → Goodbye,Goodbye → I’m → Hello,Name → Bye → Hello,A,Hello → I’m → Goodbye,U1-RP-WATCH-HELLO-GATE,"Watch again. Listen for Hello, I’m, and Goodbye.",AEW2-U001-IMG-018,
U1W09,Watch,,The Hello Gate,9,Match,greeting recognition; name phrase recognition; goodbye sequence,Match Leo to his phrase.,I’m Leo.,I’m Mia.,I’m Emma.,A,I’m Leo.,U1-RP-WATCH-HELLO-GATE,"Watch again. Listen for Hello, I’m, and Goodbye.",AEW2-U001-IMG-018,
U1W10,Watch,,The Hello Gate,10,Response choice,greeting recognition; name phrase recognition; goodbye sequence,"Someone asks, “What’s your name?” Choose an answer.",I’m Mia.,Goodbye.,What’s?,A,I’m Mia.,U1-RP-WATCH-HELLO-GATE,"Watch again. Listen for Hello, I’m, and Goodbye.",AEW2-U001-IMG-018,
U1W11,Watch,,The Hello Gate,11,Main idea,greeting recognition; name phrase recognition; goodbye sequence,What does the video help you do?,say hello and your name,count to twenty,choose colors,A,say hello and your name,U1-RP-WATCH-HELLO-GATE,"Watch again. Listen for Hello, I’m, and Goodbye.",AEW2-U001-IMG-018,
U1W12,Watch,,The Hello Gate,12,Repair choice,greeting recognition; name phrase recognition; goodbye sequence,Fix the video line: “Hello. ___ Mia.”,I’m,Bye,Name,A,I’m,U1-RP-WATCH-HELLO-GATE,"Watch again. Listen for Hello, I’m, and Goodbye.",AEW2-U001-IMG-018,
U1PR01,Final Project,,My Hello Adventure Name Card,1,Project choice,voice greeting + name card; Hello. I’m ___. Goodbye.,What do you make in the project?,voice greeting + name card,long story,number chart,A,voice greeting + name card,U1-RP-PROJECT-READY,Check the project list: voice greeting + name card. Fix the missing part.,AEW2-U001-IMG-019;AEW2-U001-IMG-020,
U1PR02,Final Project,,My Hello Adventure Name Card,2,Script choice,voice greeting + name card; Hello. I’m ___. Goodbye.,Choose the first line.,Hello.,Goodbye.,Name?,A,Hello.,U1-RP-PROJECT-READY,Check the project list: voice greeting + name card. Fix the missing part.,AEW2-U001-IMG-019;AEW2-U001-IMG-020,
U1PR03,Final Project,,My Hello Adventure Name Card,3,Script choice,voice greeting + name card; Hello. I’m ___. Goodbye.,Choose the name line.,I’m ___.,Bye.,What’s?,A,I’m ___.,U1-RP-PROJECT-READY,Check the project list: voice greeting + name card. Fix the missing part.,AEW2-U001-IMG-019;AEW2-U001-IMG-020,
U1PR04,Final Project,,My Hello Adventure Name Card,4,Script choice,voice greeting + name card; Hello. I’m ___. Goodbye.,Choose the final line.,Goodbye.,Hello.,I’m.,A,Goodbye.,U1-RP-PROJECT-READY,Check the project list: voice greeting + name card. Fix the missing part.,AEW2-U001-IMG-019;AEW2-U001-IMG-020,
U1PR05,Final Project,,My Hello Adventure Name Card,5,Card checklist,voice greeting + name card; Hello. I’m ___. Goodbye.,What must your card show?,your name,a world map,a long story,A,your name,U1-RP-PROJECT-READY,Check the project list: voice greeting + name card. Fix the missing part.,AEW2-U001-IMG-019;AEW2-U001-IMG-020,
U1PR06,Final Project,,My Hello Adventure Name Card,6,Ordering,voice greeting + name card; Hello. I’m ___. Goodbye.,Choose the correct order.,Hello → I’m ___ → Goodbye,Goodbye → Hello → I’m ___,I’m ___ → Hello → Goodbye,A,Hello → I’m ___ → Goodbye,U1-RP-PROJECT-READY,Check the project list: voice greeting + name card. Fix the missing part.,AEW2-U001-IMG-019;AEW2-U001-IMG-020,
U1PR07,Final Project,,My Hello Adventure Name Card,7,Voice checklist,voice greeting + name card; Hello. I’m ___. Goodbye.,Choose the good recording rule.,speak clearly,speak too fast,cover your mouth,A,speak clearly,U1-RP-PROJECT-READY,Check the project list: voice greeting + name card. Fix the missing part.,AEW2-U001-IMG-019;AEW2-U001-IMG-020,
U1PR08,Final Project,,My Hello Adventure Name Card,8,Boundary choice,voice greeting + name card; Hello. I’m ___. Goodbye.,Choose the best Unit 1 script.,Hello. I’m ___. Goodbye.,I have four animals.,It’s blue and red.,A,Hello. I’m ___. Goodbye.,U1-RP-PROJECT-READY,Check the project list: voice greeting + name card. Fix the missing part.,AEW2-U001-IMG-019;AEW2-U001-IMG-020,
U1PR09,Final Project,,My Hello Adventure Name Card,9,Repair choice,voice greeting + name card; Hello. I’m ___. Goodbye.,The card says “I’m ___” but no name. What do you add?,your name,goodbye,hello only,A,your name,U1-RP-PROJECT-READY,Check the project list: voice greeting + name card. Fix the missing part.,AEW2-U001-IMG-019;AEW2-U001-IMG-020,
U1PR10,Final Project,,My Hello Adventure Name Card,10,Repair choice,voice greeting + name card; Hello. I’m ___. Goodbye.,The recording says “I’m Leo. Goodbye.” What is missing?,Hello.,Bye.,Toto.,A,Hello.,U1-RP-PROJECT-READY,Check the project list: voice greeting + name card. Fix the missing part.,AEW2-U001-IMG-019;AEW2-U001-IMG-020,
U1PR11,Final Project,,My Hello Adventure Name Card,11,Portfolio evidence,voice greeting + name card; Hello. I’m ___. Goodbye.,What do you submit?,audio + name card,only a pencil,only a chair,A,audio + name card,U1-RP-PROJECT-READY,Check the project list: voice greeting + name card. Fix the missing part.,AEW2-U001-IMG-019;AEW2-U001-IMG-020,
U1PR12,Final Project,,My Hello Adventure Name Card,12,Final checklist,voice greeting + name card; Hello. I’m ___. Goodbye.,A complete project has:,greeting + name + goodbye + card,color words only,no voice,A,greeting + name + goodbye + card,U1-RP-PROJECT-READY,Check the project list: voice greeting + name card. Fix the missing part.,AEW2-U001-IMG-019;AEW2-U001-IMG-020,
