id,course,unit,section,lesson,type,difficulty,cefr_band,kp_target,lexical_target,question,option_a,option_b,option_c,option_d,correct_answer,feedback_correct,feedback_incorrect,repair_link
AEW2-U011-W-Q04,Adventure English World V2,11,Watch,Watch: The Weather Window,mcq,easy,Pre-A1.2,LST detail,windy,Leaves move. What is it?,cloudy,windy,rainy,boots,windy,Correct. Moving leaves show windy.,Try again. Look for the wind clue.,AEW2-U011-Repair-WATCH-01
AEW2-U011-W-Q05,Adventure English World V2,11,Watch,Watch: The Weather Window,mcq,easy,Pre-A1.2,LST detail,cloudy,Big clouds appear. What is it?,cloudy,sunny,umbrella,coat,cloudy,Correct. Big clouds show cloudy.,Try again. Match clouds.,AEW2-U011-Repair-WATCH-01
AEW2-U011-W-Q06,Adventure English World V2,11,Watch,Watch: The Weather Window,sequence,medium,Pre-A1.2,LST sequence,weather order,Choose the Watch order.,"sunny, rainy, windy, cloudy","rainy, snack, family, toy","cloudy, sunny, animal, number","boots, hat, coat, shoes","sunny, rainy, windy, cloudy",Correct. That is the weather order.,Try again. Listen for the weather words.,AEW2-U011-Repair-WATCH-01
AEW2-U011-W-Q07,Adventure English World V2,11,Watch,Watch: The Weather Window,matching,medium,Pre-A1.2,LST detail,hat,Leo chooses a ____ for a sunny day.,hat,boots,umbrella,coat,hat,Correct. Leo chooses a hat.,Try again. Match sunny day.,AEW2-U011-Repair-WATCH-01
AEW2-U011-W-Q08,Adventure English World V2,11,Watch,Watch: The Weather Window,matching,medium,Pre-A1.2,LST detail,boots,Mia chooses ____ for a rainy day.,boots,T-shirt,hat,sweater,boots,Correct. Mia chooses boots.,Try again. Match rainy day.,AEW2-U011-Repair-WATCH-01
AEW2-U011-W-Q09,Adventure English World V2,11,Watch,Watch: The Weather Window,matching,medium,Pre-A1.2,LST detail,umbrella,Mia chooses an ____ for a rainy day.,umbrella,hat,apple,kite,umbrella,Correct. She chooses an umbrella.,Try again. Think of rainy weather.,AEW2-U011-Repair-WATCH-01
AEW2-U011-W-Q10,Adventure English World V2,11,Watch,Watch: The Weather Window,mcq,medium,Pre-A1.2,LST detail,sweater,Emma chooses a ____ for a cloudy day.,sweater,juice,toy,sandwich,sweater,Correct. Emma chooses a sweater.,Try again. Choose clothes.,AEW2-U011-Repair-WATCH-01
AEW2-U011-W-Q11,Adventure English World V2,11,Watch,Watch: The Weather Window,best_summary,medium,Pre-A1.2,LST summary,weather + clothes,Choose the best summary.,The team looks at weather and chooses clothes.,The team counts toys.,The team finds a toy.,The team writes a long story.,The team looks at weather and chooses clothes.,Correct. That is the Watch story.,Try again. Choose weather and clothes.,AEW2-U011-Repair-WATCH-01
AEW2-U011-W-Q12,Adventure English World V2,11,Watch,Watch: The Weather Window,reflection,medium,Pre-A1.2,Project connection,weather choice card,What can you make after Watch?,Weather Choice Card,Snack menu,Family tree,Toy box,Weather Choice Card,Correct. You can make a Weather Choice Card.,Try again. Think of the project.,AEW2-U011-Repair-WATCH-01
AEW2-U011-P-Q01,Adventure English World V2,11,Project,Final Project: My Weather Choice Card,mcq,easy,Pre-A1.2,PRJ readiness,weather picture,Choose one thing for your card.,weather picture,money price,long story,weather map,weather picture,Correct. Add one weather picture.,Try again. This card shows weather.,AEW2-U011-Repair-PROJECT-02
AEW2-U011-P-Q02,Adventure English World V2,11,Project,Final Project: My Weather Choice Card,mcq,easy,Pre-A1.2,PRJ readiness,clothes pictures,Choose one more thing for your card.,clothes pictures,number card,toy picture,color card,clothes pictures,Correct. Add clothes pictures.,Try again. This project uses clothes.,AEW2-U011-Repair-PROJECT-02
AEW2-U011-P-Q03,Adventure English World V2,11,Project,Final Project: My Weather Choice Card,mcq,easy,Pre-A1.2,PRJ sentence,It's sunny.,Choose a weather sentence.,It's sunny.,Choose shoes.,Hello Toto.,I want water.,It's sunny.,Correct. It's sunny is a weather sentence.,Try again. Use It's + weather.,AEW2-U011-Repair-PROJECT-02
AEW2-U011-P-Q04,Adventure English World V2,11,Project,Final Project: My Weather Choice Card,mcq,easy,Pre-A1.2,PRJ choice,Choose a hat.,Choose a clothes sentence.,Choose a hat.,It's rainy.,This is my sister.,How many?,Choose a hat.,Correct. Choose a hat is a clothes choice.,Try again. Use Choose + clothes.,AEW2-U011-Repair-PROJECT-02
AEW2-U011-P-Q05,Adventure English World V2,11,Project,Final Project: My Weather Choice Card,matching,medium,Pre-A1.2,PRJ weather/clothes link,rainy + umbrella,Rainy card: choose ____.,umbrella,T-shirt,hat,sandwich,umbrella,Correct. Umbrella matches rainy.,Try again. Choose rainy-day item.,AEW2-U011-Repair-PROJECT-02
AEW2-U011-P-Q06,Adventure English World V2,11,Project,Final Project: My Weather Choice Card,matching,medium,Pre-A1.2,PRJ weather/clothes link,rainy + boots,Rainy card: choose ____.,boots,T-shirt,hat,apple,boots,Correct. Boots match rainy.,Try again. Choose rainy-day clothes.,AEW2-U011-Repair-PROJECT-02
AEW2-U011-P-Q07,Adventure English World V2,11,Project,Final Project: My Weather Choice Card,matching,medium,Pre-A1.2,PRJ weather/clothes link,sunny + hat,Sunny card: choose ____.,hat,boots,coat,umbrella,hat,Correct. Hat can match sunny.,Try again. Choose sunny-day clothes.,AEW2-U011-Repair-PROJECT-02
AEW2-U011-P-Q08,Adventure English World V2,11,Project,Final Project: My Weather Choice Card,matching,medium,Pre-A1.2,PRJ weather/clothes link,cloudy + sweater,Cloudy card: choose ____.,sweater,juice,toy,cookie,sweater,Correct. Sweater is a clothes choice.,Try again. Choose clothes.,AEW2-U011-Repair-PROJECT-02
AEW2-U011-P-Q09,Adventure English World V2,11,Project,Final Project: My Weather Choice Card,sentence_build,medium,Pre-A1.2,PRJ output,It's rainy. Choose boots.,Build a rainy card line.,It's rainy. Choose boots.,It's sunny. Choose a hat.,"I want juice, please.",This is my brother.,It's rainy. Choose boots.,Correct. That line matches a rainy card.,Try again. Match rainy with boots.,AEW2-U011-Repair-PROJECT-02
AEW2-U011-P-Q10,Adventure English World V2,11,Project,Final Project: My Weather Choice Card,sentence_build,medium,Pre-A1.2,PRJ output,It's sunny. Choose a hat.,Build a sunny card line.,It's sunny. Choose a hat.,It's rainy. Choose boots.,Choose an apple.,Who's this?,It's sunny. Choose a hat.,Correct. That line matches a sunny card.,Try again. Match sunny with hat.,AEW2-U011-Repair-PROJECT-02
AEW2-U011-P-Q11,Adventure English World V2,11,Project,Final Project: My Weather Choice Card,true_false,medium,Pre-A1.2,PRJ self-check,short output,My project can use one short weather sentence.,true,false,,,true,Correct. One short sentence is enough.,Try again. This is Pre-A1.,AEW2-U011-Repair-PROJECT-02
AEW2-U011-P-Q12,Adventure English World V2,11,Project,Final Project: My Weather Choice Card,project_readiness,medium,Pre-A1.2,PRJ self-check,ready to share,Ready to share? Choose the best check.,Weather picture + clothes pictures + one short sentence,A long report + prices + map,Only a snack picture,Only a family picture,Weather picture + clothes pictures + one short sentence,Correct. That is a Weather Choice Card.,"Try again. Check weather, clothes, and one short sentence.",AEW2-U011-Repair-PROJECT-02
