id,course,unit,section,lesson,type,difficulty,cefr_band,kp_target,lexical_target,question,option_a,option_b,option_c,option_d,correct_answer,feedback_correct,feedback_incorrect,repair_link
AEW2-U009-W-Q07,Adventure English World V2,9,Watch,Toto and the Snack Card,gap_fill,easy,Pre-A1.2,"CHK I want ..., please.",please,"Complete the caption: I want an apple, _____.",,,,,please,Correct. The caption ends with please.,Try again. Listen for the polite word.,AEW2-U009-Repair-WATCH-03
AEW2-U009-W-Q08,Adventure English World V2,9,Watch,Toto and the Snack Card,gap_fill,easy,Pre-A1.2,VOC drink words,juice,"Complete the caption: I want _____, please.",,,,,juice,Correct. Mia says juice.,Try again. Watch the drink scene.,AEW2-U009-Repair-WATCH-01
AEW2-U009-W-Q09,Adventure English World V2,9,Watch,Toto and the Snack Card,mcq,medium,Pre-A1.2,GRM a/an fixed chunks,an apple,Which chunk is in the video?,a apple,an apple,apple an,apple a,an apple,Correct. The video uses an apple.,Try again. Copy the caption chunk.,AEW2-U009-Repair-AAN-01
AEW2-U009-W-Q10,Adventure English World V2,9,Watch,Toto and the Snack Card,mcq,medium,Pre-A1.2,REG polite asking,please and thank you,Which words are polite?,please and thank you,banana and cookie,water and milk,head and hand,please and thank you,Correct. Please and thank you are polite words.,Try again. Choose the polite words.,AEW2-U009-Repair-POLITE-02
AEW2-U009-W-Q11,Adventure English World V2,9,Watch,Toto and the Snack Card,mcq,medium,Pre-A1.2,PRJ project connection,"I want a snack and a drink, please.",Which line helps the project?,"I want a snack and a drink, please.",Where is the toy?,Touch your ear.,How many books?,"I want a snack and a drink, please.",Correct. This line helps the project role-play.,Try again. Choose the snack order line.,AEW2-U009-Repair-WATCH-04
AEW2-U009-W-Q12,Adventure English World V2,9,Watch,Toto and the Snack Card,mcq,medium,Pre-A1.2,LST summary,"Leo, Mia, and Emma choose snacks and say thank you.",Choose the best summary.,"Leo, Mia, and Emma choose snacks and say thank you.",Toto hides a toy under a box.,The team learns clothes for weather.,The team draws a family tree.,"Leo, Mia, and Emma choose snacks and say thank you.",Correct. This summary matches the video.,Try again. Look for snack choices and polite words.,AEW2-U009-Repair-WATCH-04
AEW2-U009-P-Q01,Adventure English World V2,9,Project,My Snack Order Role-play,mcq,easy,Pre-A1.2,PRJ readiness,one snack,Step 1: Choose _____.,one snack,three toys,a weather card,a family tree,one snack,Correct. Choose one snack.,Try again. Step 1 is about a snack.,AEW2-U009-Repair-PROJ-01
AEW2-U009-P-Q02,Adventure English World V2,9,Project,My Snack Order Role-play,mcq,easy,Pre-A1.2,PRJ readiness,one drink,Step 2: Choose _____.,one drink,one animal,one room,one color only,one drink,Correct. Choose one drink.,Try again. Step 2 is about a drink.,AEW2-U009-Repair-PROJ-01
AEW2-U009-P-Q03,Adventure English World V2,9,Project,My Snack Order Role-play,mcq,medium,Pre-A1.2,PRJ readiness,snack order card,What do you make?,snack order card,toy box page,weather card,number trail,snack order card,Correct. You make a snack order card.,Try again. Look at the project model.,AEW2-U009-Repair-PROJ-03
AEW2-U009-P-Q04,Adventure English World V2,9,Project,My Snack Order Role-play,mcq,medium,Pre-A1.2,PRJ phrase bank,"I want an apple and water, please.",Choose a strong project line.,"I want an apple and water, please.",Apple water.,I see a toy.,Open the book.,"I want an apple and water, please.",Correct. This is a strong project line.,Try again. Use I want + snack + drink + please.,AEW2-U009-Repair-PROJ-02
AEW2-U009-P-Q05,Adventure English World V2,9,Project,My Snack Order Role-play,gap_fill,easy,Pre-A1.2,PRJ phrase bank,want,"Complete: I _____ a cookie and milk, please.",,,,,want,"Correct. I want a cookie and milk, please.",Try again. Start with I want.,AEW2-U009-Repair-CHK-01
AEW2-U009-P-Q06,Adventure English World V2,9,Project,My Snack Order Role-play,gap_fill,easy,Pre-A1.2,PRJ phrase bank,please,"Complete: I want a sandwich and juice, _____.",,,,,please,Correct. Please completes the polite line.,Try again. End with please.,AEW2-U009-Repair-POLITE-01
AEW2-U009-P-Q07,Adventure English World V2,9,Project,My Snack Order Role-play,sequence,medium,Pre-A1.2,PRJ role-play sequence,"Hello. | I want a banana and juice, please. | Here you are. | Thank you.",Put the project role-play in order.,,,,,"Hello. | I want a banana and juice, please. | Here you are. | Thank you.",Correct. This is the project role-play order.,Try again. Start with Hello.,AEW2-U009-Repair-ROLE-01
AEW2-U009-P-Q08,Adventure English World V2,9,Project,My Snack Order Role-play,matching,medium,Pre-A1.2,PRJ card parts,snack; drink; speaking line,Match the project card parts.,"snack=an orange; drink=water; line=I want an orange and water, please.",,,,"snack=an orange; drink=water; line=I want an orange and water, please.",Correct. The card parts are ready.,"Try again. Match snack, drink, and line.",AEW2-U009-Repair-PROJ-03
AEW2-U009-P-Q09,Adventure English World V2,9,Project,My Snack Order Role-play,true_false,easy,Pre-A1.2,PRJ self-check,please,The project line needs please.,True,False,,,True,Correct. The project line is polite.,Try again. Use the polite word.,AEW2-U009-Repair-POLITE-01
AEW2-U009-P-Q10,Adventure English World V2,9,Project,My Snack Order Role-play,true_false,easy,Pre-A1.2,PRJ self-check,voice line,You can record your snack order line for portfolio evidence.,True,False,,,True,Correct. The voice line is portfolio evidence.,Try again. Portfolio evidence includes the role-play voice line.,AEW2-U009-Repair-PROJ-04
AEW2-U009-P-Q11,Adventure English World V2,9,Project,My Snack Order Role-play,mcq,medium,Pre-A1.2,AI-R repair,Add please.,"If your line is “I want a cookie and milk,” what repair helps?",Add please.,Say a toy word.,Count to ten.,Choose clothes.,Add please.,Correct. Add please to make it polite.,Try again. Repair the polite chunk.,AEW2-U009-Repair-POLITE-01
AEW2-U009-P-Q12,Adventure English World V2,9,Project,My Snack Order Role-play,mcq,medium,Pre-A1.2,PRJ final check,I can say my snack order politely.,Choose the final self-check.,I can say my snack order politely.,I can write a long story.,I can give directions.,I can describe the weather.,I can say my snack order politely.,Correct. This matches Unit 9.,Try again. Unit 9 is about snack order role-play.,AEW2-U009-Repair-PROJ-04
